iter	Passed	Remaining
1072	14201	12268
1073	14213	12255
1074	14225	12240
1075	14237	12226
1076	14249	12211
1077	14260	12196
1078	14272	12182
1079	14284	12168
1080	14296	12153
1081	14307	12139
1082	14320	12125
1083	14332	12111
1084	14344	12096
1085	14355	12082
1086	14367	12067
1087	14380	12053
1088	14391	12039
1089	14403	12024
1090	14414	12010
1091	14427	11996
1092	14439	11982
1093	14451	11968
1094	14463	11953
1095	14475	11939
1096	14488	11926
1097	14500	11912
1098	14512	11897
1099	14524	11883
1100	14536	11869
1101	14548	11855
1102	14560	11841
1103	14573	11827
1104	14585	11813
1105	14596	11799
1106	14608	11784
1107	14621	11771
1108	14635	11758
1109	14647	11744
1110	14659	11729
1111	14670	11715
1112	14682	11700
1113	14694	11687
1114	14707	11673
1115	14719	11659
1116	14730	11644
1117	14743	11631
1118	14755	11616
1119	14766	11602
1120	14778	11587
1121	14789	11573
1122	14801	11559
1123	14813	11544
1124	14825	11530
1125	14837	11516
1126	14849	11502
1127	14861	11488
1128	14873	11474
1129	14884	11459
1130	14896	11445
1131	14908	11431
1132	14920	11417
1133	14932	11403
1134	14944	11389
1135	14956	11375
1136	14969	11361
1137	14981	11347
1138	14993	11333
1139	15004	11319
1140	15017	11305
1141	15028	11291
1142	15041	11277
1143	15053	11263
1144	15065	11249
1145	15077	11235
1146	15100	11229
1147	15112	11215
1148	15124	11201
1149	15135	11187
1150	15148	11173
1151	15160	11159
1152	15172	11145
1153	15184	11131
1154	15196	11117
1155	15208	11103
1156	15220	11089
1157	15232	11075
1158	15243	11061
1159	15255	11046
1160	15266	11032
1161	15279	11018
1162	15291	11004
1163	15303	10990
1164	15314	10976
1165	15326	10962
1166	15338	10948
1167	15350	10934
1168	15363	10921
1169	15375	10907
1170	15388	10894
1171	15401	10880
1172	15412	10866
1173	15424	10852
1174	15436	10838
1175	15448	10824
1176	15460	10810
1177	15472	10796
1178	15485	10783
1179	15497	10769
1180	15510	10756
1181	15522	10742
1182	15535	10729
1183	15547	10714
1184	15559	10701
1185	15571	10687
1186	15584	10674
1187	15597	10660
1188	15610	10647
1189	15623	10634
1190	15637	10621
1191	15650	10608
1192	15662	10595
1193	15674	10580
1194	15687	10567
1195	15699	10554
1196	15713	10541
1197	15725	10527
1198	15737	10513
1199	15749	10499
1200	15761	10485
1201	15773	10471
1202	15785	10458
1203	15798	10444
1204	15809	10430
1205	15822	10416
1206	15834	10403
1207	15846	10389
1208	15857	10374
1209	15869	10360
1210	15880	10346
1211	15892	10332
1212	15904	10318
1213	15916	10305
1214	15927	10290
1215	15938	10276
1216	15949	10261
1217	15960	10247
1218	15972	10233
1219	15983	10219
1220	15995	10204
1221	16006	10190
1222	16017	10176
1223	16028	10162
1224	16040	10148
1225	16051	10133
1226	16063	10119
1227	16075	10105
1228	16087	10092
1229	16098	10077
1230	16109	10063
1231	16120	10048
1232	16132	10035
1233	16143	10021
1234	16155	10006
1235	16166	9992
1236	16177	9978
1237	16188	9964
1238	16200	9950
1239	16212	9936
1240	16223	9922
1241	16234	9908
1242	16246	9894
1243	16258	9880
1244	16269	9866
1245	16280	9852
1246	16292	9838
1247	16304	9824
1248	16316	9810
1249	16328	9797
1250	16340	9783
1251	16351	9769
1252	16363	9755
1253	16374	9740
1254	16386	9727
1255	16397	9713
1256	16409	9699
1257	16420	9685
1258	16432	9671
1259	16443	9657
1260	16455	9643
1261	16467	9629
1262	16479	9616
1263	16491	9602
1264	16503	9588
1265	16515	9575
1266	16526	9561
1267	16538	9547
1268	16550	9533
1269	16562	9519
1270	16573	9506
1271	16585	9492
